Question Number|Question|Choices|Correct Answer|Translation
1|"Ποιο είναι το κυριότερο πολιτικό σύστημα που εφαρμόζεται στην Κύπρο;"|"Α) Προεδρική Δημοκρατία, Β) Βασιλεία, Γ) Κομμουνισμός, Δ) Δημοκρατία"|0|"Какая основная политическая система применяется на Кипре? А) Президентская республика, В) Монархия, Г) Коммунизм, Д) Демократия"
2|"Ποιος είναι ο τρέχων Πρόεδρος της Κύπρου;"|"Α) Νίκος Αναστασιάδης, Β) Νίκος Χριστοδουλίδης, Γ) Δημήτρης Χριστόφιας, Δ) Ανδρέας Παπαδόπουλος"|1|"Кто является текущим президентом Кипра? А) Никос Анастасиадис, В) Никос Христодулидис, Г) Димитрис Христофиас, Д) Андреас Пападопулос"
3|"Ποιο είναι το νόμισμα που χρησιμοποιείται στην Κύπρο;"|"Α) Ευρώ, Β) Δολάριο, Γ) Λίρα Κύπρου, Δ) Ρούβλι"|0|"Какая валюта используется на Кипре? А) Евро, В) Доллар, Г) Кипрский фунт, Д) Рубль"
4|"Πότε προσχώρησε η Κύπρος στην Ευρωπαϊκή Ένωση;"|"Α) 2004, Β) 1998, Γ) 2010, Δ) 1986"|0|"Когда Кипр присоединился к Европейскому Союзу? А) 2004, В) 1998, Г) 2010, Д) 1986"
5|"Ποιο είναι το μεγαλύτερο λιμάνι της Κύπρου;"|"Α) Λάρνακα, Β) Λεμεσός, Γ) Λάτσι, Δ) Λευκωσία"|1|"Какой самый крупный порт на Кипре? А) Ларнака, В) Лимасол, Г) Лачи, Д) Никосия"
6|"Ποια είναι η πρωτεύουσα της Κύπρου;"|"Α) Λεμεσός, Β) Λάρνακα, Γ) Πάφος, Δ) Λευκωσία"|3|"Какова столица Кипра? А) Лимасол, В) Ларнака, Г) Пафос, Д) Никосия"
7|"Ποιο είναι το κύριο πρόβλημα που αντιμετωπίζει η Κύπρος σε σχέση με την Τουρκία;"|"Α) Κατοχή τουρκικών στρατευμάτων στο βόρειο μέρος της Κύπρου, Β) Οικονομικές διαφορές, Γ) Συνοριακές διαμάχες, Δ) Προβλήματα μετανάστευσης"|0|"Какова основная проблема, с которой сталкивается Кипр в отношениях с Турцией? А) Оккупация турецкими войсками северной части Кипра, В) Экономические разногласия, Г) Пограничные споры, Д) Проблемы миграции"
8|"Ποιο είναι το κύριο πολιτικό κόμμα στην Κύπρο;"|"Α) Δημοκρατικός Συναγερμός, Β) Αριστερή Συμμαχία, Γ) Δημοκρατικό Κόμμα, Δ) Δημοκρατική Συμπαράταξη"|0|"Какая основная политическая партия на Кипре? А) Демократическое сражение, В) Левая коалиция, Г) Демократическая партия, Д) Демократическое объединение"
9|"Ποια είναι η ημερομηνία των Χριστουγέννων;"|"Α) 24 Δεκεμβρίου, Β) 25 Δεκεμβρίου, Γ) 26 Δεκεμβρίου, Δ) 31 Δεκεμβρίου"|1|"Какова дата Рождества? А) 24 декабря, В) 25 декабря, Г) 26 декабря, Д) 31 декабря"
10|"Ποιος είναι ο Άγιος Βασίλης;"|"Α) Ένας μύθος, Β) Ο Άγιος Νικόλαος, Γ) Ο Άγιος Πατάπιας, Δ) Ο Άγιος Ανδρέας"|1|"Кто такой Санта Клаус? А) Миф, В) Святой Николай, Г) Святой Патапий, Д) Святой Андрей"
11|"Ποια γιορτή γιορτάζουμε στις 31 Δεκεμβρίου;"|"Α) Πρωτοχρονιά, Β) Πάσχα, Γ) Χριστούγεννα, Δ) Απόκριες"|0|"Какой праздник мы отмечаем 31 декабря? А) Новый год, В) Пасха, Г) Рождество, Д) Карнавал"
12|"Ποια είναι η σημασία της γιορτής του Πάσχα;"|"Α) Η γέννηση του Ιησού Χριστού, Β) Η ανάσταση του Ιησού Χριστού, Γ) Η επίσκεψη του Αγίου Βασιλείου, Δ) Η γιορτή της αγάπης"|1|"Каково значение праздника Пасхи? А) Рождение Иисуса Христа, В) Воскресение Иисуса Христа, Г) Визит Святого Василия, Д) Праздник любви"
13|"Ποια είναι η επαρχία της Κύπρου που φημίζεται για την Παναγία της Ασίνου ή Παναγία Φορβιώτισσα, η οποία είναι μέρος της Παγκόσμιας Κληρονομιάς της UNESCO;"|"Α) Λευκωσία, Β) Λεμεσός, Γ) Πάφος, Δ) Λάρνακα"|0|"Какая провинция Кипра знаменита Панагией Асину или Панагией Форвиотиссой, которые являются частью Всемирного наследия ЮНЕСКО? А) Никосия, В) Лимасол, Г) Пафос, Д) Ларнака"
14|"Ποιος αρχαιολογικός χώρος στην Κύπρο αποτελεί μνημείο της Παγκόσμιας Κληρονομιάς της UNESCO;"|"Α) Αρχαία Σαλαμίς, Β) Αρχαία Κούριος, Γ) Τάφοι των βασιλέων, Δ) Αρχαία Κίτιο"|2|"Какой археологический памятник на Кипре является объектом Всемирного наследия ЮНЕСКО? А) Древний Саламин, В) Древний Курион, Г) Гробницы царей, Д) Древний Китион"
15|"Ποια είναι η φημισμένη αρχαιολογική περιοχή της Κύπρου που περιλαμβάνει την Αφροδίτη, μια από τις πιο διάσημες ανακαλύψεις της αρχαιότητας;"|"Α) Αρχαιότητες της Λεμεσού, Β) Αρχαιότητες της Πάφου, Γ) Αρχαιότητες της Αγίας Νάπας, Δ) Αρχαιότητες της Λάρνακας"|1|"Какая известная археологическая зона Кипра включает Афродиту, одно из самых знаменитых открытий древности? А) Древности Лимасола, В) Древности Пафоса, Г) Древности Айя-Напы, Д) Древности Ларнаки"
16|"Ποια παραδοσιακή κυπριακή σούπα παρασκευάζεται από τη μίξη αλευριού, γιαουρτιού και ξινόγαλου;"|"Α) Μακαρόνια του φούρνου, Β) Μούγερα, Γ) Κολοκυθόσουπα, Δ) Τραχανάς"|3|"Какой традиционный кипрский суп готовится из смеси муки, йогурта и кислого молока? А) Паста запеченная, В) Муджера, Г) Тыквенный суп, Д) Траханас"
17|"Ποιο είναι το παραδοσιακό κυπριακό πιάτο με κουνέλι ή μοσχάρι, φρέσκες ντομάτες, κρεμμύδια και πολλά μπαχαρικά;"|"Α) Μουσακάς, Β) Σουβλάκι, Γ) Στιφάδο, Δ) Αφροδίτης"|2|"Какое традиционное кипрское блюдо готовится из кролика или говядины, свежих помидоров, лука и множества специй? А) Мусака, В) Шашлык, Г) Стифадо, Д) Афродитис"
18|"Ποιο είναι το παραδοσιακό κυπριακό τυρί με έντονη γεύση και αρωματικά βότανα;"|"Α) Χαλλούμι, Β) Ανθότυρο, Γ) Αναργύρειο, Δ) Ανακούφι"|0|"Какой традиционный кипрский сыр с ярким вкусом и ароматными травами? А) Халлуми, В) Антотиро, Г) Анаргирио, Д) Анакуфи"
19|"Ποιο είναι το παραδοσιακό κυπριακό φαγητό που αποτελείται από κιμά, πουργούρι και διάφορα μπαχαρικά;"|"Α) Κεμπάπ, Β) Κοτομπούλι, Γ) Κούπες, Δ) Σουβλάκια"|2|"Какое традиционное кипрское блюдо состоит из фарша, булгура и различных специй? А) Кебаб, В) Котомбули, Г) Купес, Д) Шашлыки"
