Question Number|Question|Choices|Correct Answer|Translation
1|"Πότε απέκτησε την ανεξαρτησία της η Κύπρος;"|"Α) 1955, Β) 1899, Γ) 1960"|2|"Когда Кипр стал независимым государством? А) 1955, В) 1899, Г) 1960"
2|"Ποια ημερομηνία εισέβαλε η Τουρκία στην Κύπρο;"|"Α) 1η Οκτωβρίου 1960, Β) 20η Ιουλίου 1974,  Γ) 1η Απριλίου 1955"|1|"Когда Турция вторглась на Кипр? А) 1 октября 1960, В) 20 июля 1974, Г) 1 апреля 1955"
3|"Ποιες είναι οι επίσημες γλώσσες της Κυπριακής Δημοκρατίας με βάση το Σύνταγμα;"|"Α) ελληνική, Β) ελληνική, τουρκική και αγγλική, Γ) ελληνική και τουρκική"|2|"Какие языки являются официальными в Кипрской Республике согласно Конституции? А) греческий, В) греческий, турецкий и английский, Г) греческий и турецкий"
4|"Ποιο είναι το όνομα του σημερινού προέδρου της Κυπριακής Δημοκρατίας;"|"Α) Δημήτρης Χριστόφιας, Β) Νίκος Αναστασιάδης, Γ) Νίκος Χριστοδουλίδης"|2|"Как зовут нынешнего президента Кипрской Республики? А) Димитрис Христофиас, В) Никос Анастасиадис, Г) Никос Христодулидис"
5|"Πώς ονομάζεται ο σημερινός Πρόεδρος της Βουλής;"|"Α) Αννίτα Δημητρίου, Β) Γιαννάκης Ομήρου, Γ) Δημήτρης Συλλούρης"|0|"Как зовут текущего председателя Парламента? А) Аннита Димитриу, В) Яннакис Омиpу, Г) Димитрис Силлуpис"
6|"Από ποιον διορίζονται οι υπουργοί της κυβέρνησης στην Κυπριακής Δημοκρατίας;"|"Α) Από τον Γενικό Εισαγγελέα, Β) Από τον πρόεδρο της Βουλής, Γ) Από τον πρόεδρο της Δημοκρατίας"|2|"Кем назначаются министры правительства Кипрской Республики? А) Генеральным прокурором, В) Председателем парламента, Г) Президентом Республики"
7|"Κάθε πότε διεξάγονται οι προεδρικές εκλογές στην Κύπρο;"|"Α) 4 χρόνια, Β) 5 χρόνια, Γ) 3 χρόνια"|1|"Как часто проводятся президентские выборы на Кипре? А) каждые 4 года, В) каждые 5 лет, Г) каждые 3 года"
8|"Ποια κυπριακή πόλη είναι διάσημη για τις εκδηλώσεις του καρναβαλιού της;"|"Α) Λευκωσία, Β) Λεμεσός, Γ) Λάρνακα"|1|"Какой кипрской город известен своими карнавальными мероприятиями? А) Никосия, В) Лимасол, Г) Ларнака"
9|"Σε ποια επαρχία βρίσκεται η Πέγεια;"|"Α) Επαρχία Πάφου, Β) Επαρχία Λεμεσού, Γ) Επαρχία Λάρνακας"|0|"В каком районе находится Пегея? А) Район Пафос, В) Район Лимасол, Г) Район Ларнака"
10|"Πού βρίσκεται η Κύπρος σε σχέση με την Τουρκία;"|"Α) νότια, Β) δυτικά, Γ) βόρεια"|0|"Где расположен Кипр относительно Турции? А) южнее, В) западнее, Г) севернее"
11|"Ποια χρώματα εμφανίζονται στην κυπριακή σημαία;"|"Α) κίτρινο, πράσινο και άσπρο, Β) πράσινο, καφέ και άσπρο, Γ) κίτρινο, καφέ και άσπρο"|0|"Какие цвета присутствуют на кипрском флаге? А) желтый, зеленый и белый, В) зеленый, коричневый и белый, Г) желтый, коричневый и белый"
12|"Πού βρίσκεται η Αγία Νάπα πάνω στον χάρτη;"|"Α) Νοτιοανατολικά, Β) Νότια, Γ) Νοτιοδυτικά"|0|"Где находится Айя-Напа на карте? А) Юго-восток, В) Юг, Г) Юго-запад"
13|"5% του πληθυσμού είναι μετανάστες."|"Α) σωστό, Β) λάθος"|1|"5% населения приезжие. А) правильно, В) неправильно"
14|"Ο Δεκαπενταύγουστος είναι εργάσιμη μέρα."|"Α) σωστό, Β) λάθος"|1|"15 августа - это рабочий день. А) правильно, В) неправильно"
15|"Ο ΦΠΑ σε ψωμί, γάλα και αυγά είναι πλέον 0%."|"Α) λάθος, Β) σωστό"|1|"НДС на хлеб, молоко и яйца сейчас 0%. А) неправильно, В) правильно"
16|"Οι ώρες λειτουργίας των δημόσιων υπηρεσιών είναι από τις 7:30 έως τις 16:00."|"Α) λάθος, Β) σωστό"|0|"Часы работы гос учреждений 7:30-16:00. А) неправильно, В) правильно"
17|"Κανένα άλλο κράτος, εκτός από την Τουρκία, δεν αναγνωρίζει την Τουρκική Δημοκρατία Βόρειας Κύπρου."|"Α) σωστό, Β) λάθος"|0|"Турецкую Республику Северного Кипра не признает ни одна страна, кроме Турции. А) правильно, В) неправильно"
18|"Η Κύπρος είναι το τρίτο μεγαλύτερο νησί στη Μεσόγειο."|"Α) λάθος, Β) σωστό"|1|"Кипр - 3-й по величине остров Средиземноморья. А) неправильно, В) правильно"
19|"Το τηλέφωνο της αστυνομίας και της πυροσβεστικής υπηρεσίας είναι το 225."|"Α) λάθος, Β) σωστό"|0|"Телефон полиции и пожарной службы 225. А) неправильно, В) правильно"
20|"Ένας μεζές και μια μπύρα σε τοπική ταβέρνα κοστίζουν περίπου 32 ευρώ."|"Α) σωστό, Β) λάθος"|1|"Мезе и пиво в местной таверне стоит примерно 32 евро. А) правильно, В) неправильно"
21|"Εάν φέρνετε στο αεροδρόμιο 10 χιλιάδες ευρώ και άνω, πρέπει να τα δηλώσετε."|"Α) λάθος, Β) σωστό"|1|"Если ввозите в аэропорт 10 тысяч евро и больше, их нужно задекларировать. А) неправильно, В) правильно"
